ComplaintID,Date,ServiceType,ServiceProvider,CustomerName,CustomerContact,Description,ResolutionStatus
4534,2021-11-19,Telecom,Glo,Mitchell Hubbard,23490983526788,Beat five whatever major itself ago now each.,Resolved
1153,2023-09-10,Telecom,MTN,Gregory Gonzales,23480239060141,Against rise place door.,Open
8896,2023-02-16,Pay TV,Etisalat,Tina Bush,23470226767688,Term any bank wear nature certain strong.,In Progress
4367,2022-03-08,Pay TV,MTN,Susan Simpson MD,23470470579800,Wind effort style name.,Open
1738,2022-06-04,Pay TV,MTN,David Jimenez,23480398517421,Work throw enjoy scientist institution.,In Progress
6512,2022-04-23,Telecom,MTN,Jared Powers,23481879374836,On cell fight over animal water.,Resolved
8819,2022-03-16,Pay TV,Etisalat,Barry Griffin,23470138336952,Next today hundred large vote radio.,Open
5103,2023-05-31,Pay TV,Etisalat,Jennifer Stone,23470562415601,Fund another it nice or.,Open
2577,2022-08-28,Telecom,MTN,Jennifer Wiley MD,23490998750195,Half effort reality by.,Resolved
9783,2023-02-12,Telecom,Etisalat,Jeremiah Sanford,23481707436435,Role those success appear.,Resolved
4076,2021-11-08,Pay TV,Glo,Cassandra Waters,23490877777870,Argue civil agent such mission.,In Progress
2929,2022-02-13,Telecom,Airtel,Michael Schwartz,23490617191377,Very Democrat he.,Resolved
6936,2023-09-14,Pay TV,Etisalat,Dr. William Cox,23470923526369,Wide possible us less protect goal ground.,In Progress
1390,2022-10-26,Pay TV,Glo,Michelle Sanchez,23481939672695,Listen amount blue read edge none available.,Resolved
5786,2022-05-19,Telecom,MTN,Tony Estrada,23470425180523,Citizen happen report kitchen down trip because.,In Progress
4396,2023-09-15,Telecom,Glo,Paul Bates,23480249988491,Little read heavy treatment maintain Democrat poor.,Resolved
834,2023-07-28,Pay TV,Airtel,Adam Dunn,23480556826345,Democrat anything dark will beyond white day.,Resolved
6787,2023-06-23,Pay TV,Glo,Veronica Holden,23481589899493,Evening and evidence cell face.,Resolved
6745,2022-04-28,Telecom,Etisalat,Breanna Martinez,23470386401770,Out theory doctor rule too main.,Open
1198,2022-03-16,Pay TV,Etisalat,Douglas Vazquez,23481777814470,Have long minute language a.,Open
1407,2022-08-05,Telecom,Airtel,James Mccoy,23480366495658,Music far boy half in writer wait.,Resolved
9653,2022-09-04,Pay TV,Etisalat,Melissa Wilkinson,23490135225366,Talk affect medical condition.,Open
246,2022-04-10,Pay TV,Airtel,Alvin Torres,23470277948193,Past both car reveal collection score.,Open
3091,2022-10-08,Pay TV,MTN,Robert Smith,23490101449188,When beautiful computer run.,Resolved
6851,2023-03-16,Pay TV,Etisalat,Kenneth Moore,23490831089482,History everybody staff why seem including.,Resolved
2707,2021-11-17,Pay TV,Etisalat,Heather Drake,23481872035768,Sometimes analysis great about.,Resolved
1675,2023-07-18,Telecom,Airtel,Johnny Lowery,23470679771106,Write which when foot.,Resolved
6340,2023-03-17,Telecom,Glo,Christy Nunez,23490545228923,Sometimes open method result decide.,Open
4385,2023-05-23,Telecom,Airtel,Robert Clements,23470781912135,Buy seem watch base together defense.,Resolved
9604,2023-04-28,Telecom,Airtel,Brianna Mcdaniel,23480734797023,So develop learn hit already.,In Progress
5560,2023-04-26,Telecom,Etisalat,Alyssa Michael,23481699410439,Series tonight total century against common skin.,Open
7652,2022-02-11,Pay TV,MTN,Michael Black,23480327710612,Approach what one operation parent seek.,In Progress
3797,2022-05-02,Pay TV,Etisalat,Dorothy Thompson,23470900799484,Rate reduce suggest necessary everybody sure.,Open
2376,2023-04-14,Telecom,Glo,Anthony Davis,23480916795475,Prepare sort remember past medical.,Resolved
8289,2022-05-21,Telecom,Airtel,Zachary Palmer,23470801528346,Member arrive capital four edge animal live.,Open
9553,2023-08-22,Telecom,Glo,Joshua Anderson,23490557891936,Care begin full employee.,In Progress
5373,2023-01-05,Pay TV,Glo,Christopher Carter,23480406193199,Talk security spring him.,Resolved
7165,2022-02-09,Pay TV,Etisalat,Kevin Sloan,23490119710050,Kind hospital chance loss fall them I.,In Progress
6402,2022-05-12,Telecom,MTN,Christy Nielsen,23481199267948,Language full win investment term her.,In Progress
6138,2022-11-23,Telecom,MTN,Michael Collins,23481120927660,Four example walk.,In Progress
539,2023-04-24,Telecom,Glo,Kevin Henry,23490615525116,Ago expect letter reduce chance area score.,In Progress
5413,2023-09-08,Pay TV,MTN,Sharon Carter,23480594058505,Be air such.,Open
2407,2022-04-17,Telecom,Etisalat,Nancy Reynolds,23470983972219,Seat then energy section whole economic president type.,Resolved
2930,2022-01-09,Pay TV,Glo,Kimberly Barrett,23480243550736,Away soldier national report.,Resolved
534,2022-10-22,Pay TV,Airtel,Yvonne Brown,2349076285284,Choose stock recent treat.,Resolved
4705,2022-05-30,Pay TV,MTN,Donald Collier,23481320242992,Professor better yourself sea.,Resolved
1679,2022-08-04,Pay TV,Glo,Shannon Long,2349084130706,Young sister hour painting anything reason.,In Progress
9905,2022-02-01,Pay TV,Etisalat,Julie Brown,23490212156855,Amount the power question her.,Open
5673,2022-07-03,Telecom,MTN,Joanna Johnson,2349072062183,Computer have remember area enough carry.,Resolved
1505,2022-07-01,Pay TV,Glo,Melinda Grimes,2348098143030,Which know ball.,Open
3701,2022-11-29,Pay TV,Glo,Chase Anderson,23480426684616,Trouble number sure remain.,Open
4963,2022-04-01,Pay TV,MTN,James Cole,23490502667834,Save fine shoulder use since character.,In Progress
1714,2023-01-14,Telecom,Etisalat,Miss Jennifer Pugh,23481806069107,Life election true around.,Resolved
886,2022-08-16,Telecom,Glo,Brian Fleming,2348030112928,Represent animal couple drive chair.,Open
1612,2023-08-16,Pay TV,Etisalat,Billy Vance,23490229716320,According try entire fill ago.,Resolved
2533,2023-06-20,Pay TV,Etisalat,Bryan Reeves,23490812853685,Full represent bank top whom would.,Resolved
9024,2023-08-29,Telecom,MTN,Devin Wong,23470245734090,Parent attack rule standard hear this five.,Resolved
7180,2022-08-23,Telecom,Etisalat,Carmen Holt,23480572357320,Campaign industry financial recently to.,In Progress
2708,2022-04-01,Pay TV,MTN,James Payne,23470327966289,No Republican often peace.,In Progress
346,2021-09-23,Pay TV,Glo,Lisa Cohen,23470767201449,Two executive government a industry work.,Open
7209,2021-10-03,Telecom,MTN,Charles Obrien,23490332987360,Sing air he impact talk stay simple.,Resolved
782,2022-10-09,Telecom,MTN,Paula Harris,23480642290030,Tough know wrong bad audience ground.,Open
5707,2021-12-03,Telecom,Airtel,Jessica Fitzpatrick,23480433324237,Public card street turn power also.,In Progress
724,2023-05-01,Pay TV,Airtel,Allen White,23481352974101,Gas Congress this trade.,Open
4018,2022-02-07,Telecom,Etisalat,Ryan Wise,23481229541134,Mission need sport several my structure money remember.,Open
5583,2023-07-23,Telecom,Etisalat,Sean Wood,23470271109319,Feeling ever music either generation number bring.,In Progress
4669,2022-09-25,Pay TV,Glo,Susan Morales,23490611210855,Station memory get now community.,In Progress
5056,2021-12-23,Telecom,Etisalat,Michael Meyer,23490422013726,Occur follow yes beautiful our.,In Progress
9114,2022-03-07,Pay TV,Glo,Aaron Smith,23490856895148,Now data conference thing foot natural.,Resolved
3494,2022-01-30,Pay TV,MTN,Brian Hernandez,23480743292346,Ability other bar call along author offer technology.,Open
9284,2022-11-10,Pay TV,MTN,James Allen,23470701630145,Know day house talk character fight remember.,In Progress
5539,2023-07-09,Pay TV,Etisalat,Jennifer Vargas,23490768514479,Whatever adult with.,Open
7652,2023-06-05,Pay TV,Airtel,Elizabeth Williams,23470696660171,Fire firm consumer threat similar common.,In Progress
576,2022-12-31,Telecom,MTN,Anna Dean,23490818146355,Film person power.,In Progress
6490,2021-11-05,Telecom,Airtel,Luis Becker,23490319507995,Doctor environment key skin later.,Open
5259,2023-09-16,Pay TV,Airtel,Lauren Olson,23481908444775,Ever such discover miss attack must security.,In Progress
4984,2022-10-18,Pay TV,MTN,Michael Ortiz,23481443585778,Chair fund have space.,Open
2597,2021-09-25,Pay TV,MTN,Sara Odonnell,23481540176057,Concern music authority quickly recently morning.,Open
7409,2022-04-07,Telecom,Glo,David Bennett,23490568374497,World explain thought.,Open
1177,2023-02-26,Pay TV,Etisalat,Natalie Pearson,23490402212873,Current window ago suddenly control foreign evidence.,Resolved
1011,2023-09-14,Telecom,Airtel,Kelly Buck,23481906631921,Office recognize law it crime compare glass.,Resolved
1255,2023-05-11,Pay TV,Airtel,Jorge Schwartz,23480430582805,Other success foot.,Resolved
7973,2022-11-03,Telecom,Glo,Randy Small,23490423974521,Decade option how including some face eight city.,Open
9293,2023-04-26,Pay TV,Airtel,Emily Henry,23490938339649,Foot door through another.,In Progress
3942,2021-12-13,Pay TV,Etisalat,John Nichols,23470761607281,Save travel hit president read event three.,Open
5146,2021-12-28,Telecom,Airtel,Megan Gonzalez PhD,23481334341971,Cost expect financial.,Resolved
4918,2022-08-03,Pay TV,Airtel,Michelle Stevenson,2349073781889,Including trouble make.,Open
3532,2022-02-14,Telecom,Glo,Charles Macias,23481828419997,Figure someone stage doctor building reason appear race.,Resolved
3690,2022-09-30,Pay TV,Etisalat,Robin Higgins,23480617780837,Cup perform camera professional.,In Progress
4271,2022-06-19,Telecom,MTN,Matthew Jimenez,23481983527138,Road require wind more act.,Open
6092,2022-07-03,Telecom,Airtel,Darrell Hoffman,23480711831556,Also trip use far war.,Resolved
1384,2022-02-04,Telecom,MTN,Renee Long,23481761066961,Charge fill key seat.,Open
8477,2022-08-15,Telecom,MTN,Sydney Cunningham,23470715782086,Piece easy his TV.,In Progress
6126,2023-05-19,Pay TV,Glo,Amy Barnett,23490374884864,Effect why young involve good by.,Resolved
2267,2023-09-20,Pay TV,Airtel,Howard Roman,23490771929900,Much feeling especially economic easy never science.,Resolved
7270,2023-06-26,Telecom,MTN,Caleb Holmes,23490327775958,Doctor west meet party high.,In Progress
4054,2021-11-21,Telecom,Etisalat,Kimberly Young,2347017478202,Outside director camera career production.,Open
8180,2021-12-20,Pay TV,MTN,Claudia Ross,23470751417587,Without continue best act shake.,Open
1562,2023-03-24,Telecom,Airtel,Heather Love,23490175916617,Myself until day teacher.,In Progress
1596,2021-11-16,Pay TV,MTN,Laura King,23490221775084,Interest so eight.,Resolved
3322,2022-04-12,Pay TV,Airtel,Richard Rivas,23470236031403,The at sea matter.,In Progress
956,2023-09-18,Pay TV,MTN,Maxwell Reed,23480470031568,Move happen push exactly wonder.,In Progress
1919,2022-10-02,Telecom,Etisalat,Stacey Brown,23470128338496,Section face heavy cut.,Open
8014,2022-11-12,Pay TV,MTN,Anthony Ward,23480138144463,Center green recent become sing professional case.,Resolved
5854,2023-06-22,Pay TV,MTN,Eric Miller,23470758860728,Population collection ever tend.,Open
9335,2023-08-04,Telecom,MTN,Kevin Clark,23490253089410,Young produce half happen take.,In Progress
2167,2022-03-30,Telecom,Glo,Alyssa Mora,23470992278929,Understand see ability letter.,Open
3774,2022-04-22,Pay TV,Airtel,Audrey Scott,23490201269873,Development bill theory generation part hard require.,Resolved
3274,2022-02-05,Telecom,Etisalat,Stacy Martinez,23490507682403,Former stage hotel assume challenge standard person parent.,Resolved
1415,2022-01-30,Telecom,Airtel,Craig Morris,23470948236071,Our fear agent final someone policy.,Open
6828,2023-08-02,Telecom,Airtel,Shawn Brown,23490267743139,Glass interest leg especially debate.,Open
6928,2023-01-05,Pay TV,Glo,Christopher Phillips,23470597798065,Quickly investment art music popular over available.,Open
8687,2023-04-01,Telecom,Glo,Kyle Williams,23480855347464,Quickly recognize scientist garden wide charge.,Open
7963,2023-06-03,Telecom,MTN,Jonathan Bradford,23481261528018,Matter leave reason the spring often.,In Progress
6505,2023-08-14,Telecom,Glo,Crystal Davis,23481322422199,Carry ready adult you realize her safe.,Open
1619,2022-04-04,Telecom,Glo,Scott Smith,23490514845100,Sport level will night physical change.,Open
8773,2022-06-27,Telecom,MTN,Eric Carson,23481519827231,Member a beyond including child.,In Progress
7446,2022-10-14,Telecom,Glo,William Potter,23481136199823,Could Democrat similar trip.,Open
1761,2022-04-06,Telecom,MTN,Tiffany Price,23470559825270,Point happen involve major these capital.,Open
8773,2022-03-14,Telecom,Airtel,Arthur Daniel,23481273003892,Partner late memory article cause care.,Open
9113,2023-04-03,Telecom,Etisalat,Scott Lawson,23490331136633,Chance explain together employee PM full.,Open
2723,2022-05-22,Pay TV,MTN,Anthony Garcia,23490888900676,Natural special feeling measure five weight nearly.,Resolved
1487,2023-04-12,Telecom,Glo,Carl Barrera,23481422500077,Enjoy western husband natural.,In Progress
9271,2023-05-14,Telecom,MTN,James Jones,23481610037578,Poor before lawyer me culture.,Open
7339,2023-04-01,Pay TV,MTN,Megan Hampton,23481743721557,Central wind kid production.,Open
6792,2023-03-27,Pay TV,Etisalat,Christopher Ford,23470525965698,Take management could.,In Progress
3757,2022-04-25,Pay TV,Airtel,Vanessa Cook,23490738014848,Bag each people move.,Open
3211,2022-10-01,Telecom,Airtel,Matthew Chen,23470421561953,Trade direction worker forward already.,Open
2228,2022-10-06,Pay TV,Glo,Debbie Rice,23490713072961,Site increase suggest.,Resolved
4459,2022-05-31,Pay TV,Airtel,Laura Perez,23470289900816,Charge budget mean sign positive store safe candidate.,Resolved
6685,2022-05-11,Pay TV,MTN,Juan Becker,23481544786917,American old reach trip.,Resolved
5659,2021-12-20,Pay TV,Etisalat,Charles Lawson,23470941453733,Reach force claim everyone have machine article before.,Resolved
9264,2022-10-05,Pay TV,MTN,Peter Solomon,23490557879759,Budget try gas.,Resolved
842,2022-05-21,Pay TV,Etisalat,Martha Lowe,23490791806738,We enough two Mrs maintain control have among.,In Progress
1063,2022-08-25,Telecom,Glo,Olivia Moran,23470846989868,Gas hear claim there.,Open
1534,2023-04-30,Pay TV,Glo,William Johnson,23481160042521,Social analysis manage positive certainly try account.,Open
5886,2023-05-23,Pay TV,Glo,Heidi Holland,23480298769991,Fish would attention.,Resolved
8878,2022-12-24,Pay TV,Airtel,Craig Rodriguez,23490664496050,Light form bit hundred.,Open
5613,2022-10-08,Pay TV,Glo,Edward Harris,23481425398402,Believe station rate five feeling way would.,Resolved
1553,2023-03-08,Pay TV,Etisalat,Fernando Scott,23480768192385,Prepare somebody above carry ability moment beyond.,Resolved
2499,2022-11-23,Pay TV,Glo,Alexander Mack,23490929404036,Increase then city budget.,Open
2554,2022-01-28,Telecom,Etisalat,Cheryl Williams,23490472152922,Sign large actually.,Open
1026,2022-09-05,Telecom,Etisalat,Christopher Petersen,23470873404112,Ground computer company state feeling.,Resolved
5361,2022-09-26,Pay TV,MTN,Samuel Riddle,23490362812025,Executive career same game law than after PM.,Open
3987,2023-09-17,Pay TV,MTN,Mason Guerra,23481598333685,They company back military pretty contain spend.,Resolved
6221,2022-06-23,Pay TV,Glo,Laura Andrews,23470744268074,Music enjoy long sell only avoid.,In Progress
7076,2022-12-14,Telecom,MTN,Lisa Anderson,23470795855618,Truth early four among.,Open
2253,2022-08-14,Telecom,Etisalat,Patricia Shelton,2348172395800,Know create likely.,In Progress
3957,2022-09-14,Telecom,Glo,Sara White,23470803322993,News again from anyone.,In Progress
6193,2022-12-10,Pay TV,MTN,William Mcdonald,23480212358174,Pattern face nor wife crime big might.,In Progress
7134,2021-09-28,Pay TV,Airtel,Jordan Lopez,23480451950293,Food dream white hit others couple how.,Resolved
2906,2023-02-05,Pay TV,MTN,Chad Smith,23490353528765,Else professor central among nor where sure.,Resolved
1517,2023-03-29,Telecom,MTN,Kerry Frye,23481186130254,Rate impact continue modern pressure.,In Progress
9901,2022-07-22,Pay TV,Airtel,Eric Hutchinson,2348152079524,Find safe question moment.,In Progress
5634,2023-02-21,Telecom,Airtel,Angela Hill,23470996468975,Level place item administration raise media.,In Progress
6473,2022-05-03,Pay TV,Glo,Lisa Robinson,23470428378837,Kind gas pretty right research treatment close.,Resolved
2100,2022-05-09,Pay TV,MTN,Richard Farrell,23481455879352,Yeah heavy usually four.,Resolved
8348,2022-04-15,Telecom,Airtel,Elizabeth Sparks,23480714455022,Quality business west mother best.,Resolved
4196,2023-05-22,Pay TV,MTN,Dominique Hampton,23480207467787,Support investment month serve list Congress just.,Open
3274,2023-03-31,Telecom,Glo,Charles Owens,2347055772990,Hospital instead respond tough.,Resolved
8167,2021-10-18,Telecom,MTN,Amanda Andrews,23480709732000,Bad crime move stuff write media.,Open
2001,2021-12-26,Pay TV,MTN,Zachary Tran,2349065266501,Career stage run others finish good exist.,In Progress
807,2022-05-11,Pay TV,Airtel,Dr. Christopher Mitchell,23470505937095,Fly in safe his stay.,In Progress
4161,2023-02-23,Telecom,MTN,Andrea Wright,23480178346504,Common particular term politics follow partner.,Resolved
7812,2023-04-20,Telecom,Etisalat,Elizabeth Bailey,23481772998375,Direction unit this change half whom.,Resolved
1683,2023-02-05,Telecom,Etisalat,Heather Clark,23470457136726,Respond attorney current follow game cultural.,In Progress
6769,2022-03-23,Pay TV,Glo,Tonya Smith,23490517736127,Individual suffer fast pressure job.,In Progress
646,2023-05-20,Telecom,MTN,Troy Manning,23480911072529,Poor ground society form want.,Resolved
8392,2022-02-25,Pay TV,Airtel,Ethan Anderson,23490894105980,Cold for several character.,In Progress
8052,2023-05-15,Pay TV,Glo,James Morrison,23480462500997,Glass feel increase use crime prevent guess.,In Progress
7258,2022-10-17,Pay TV,MTN,Colin Mclean,23470711441402,Professor wife support staff their.,Resolved
3367,2023-08-10,Telecom,Etisalat,Christopher Dennis,23470348005971,Image social draw almost forward live.,Open
1327,2022-11-07,Telecom,MTN,Amy Rose,23490415791808,Story security close feel.,Resolved
9225,2023-01-29,Pay TV,Airtel,Cameron Cruz,23470422710077,Already next whatever north specific most personal.,Resolved
