FeedbackID,Date,ServiceType,ServiceProvider,CustomerName,CustomerContact,FeedbackText,Rating
7984,2023-03-01,Telecom,Airtel,Danielle Marquez,23481676113974,Thought live nothing lose letter institution moment dark.,4
9510,2022-04-22,Telecom,Airtel,Jeffrey Schaefer,23490849550529,Girl value letter rich difference.,5
4013,2022-07-26,Pay TV,Glo,Lindsey Guzman,23481565521241,Most someone not game.,3
1161,2022-02-09,Pay TV,Etisalat,Kimberly Garcia,23490886905937,Stock step kind picture.,4
462,2022-04-27,Pay TV,Glo,Alicia Jones,2347042661204,Health water standard tax who option determine.,2
3356,2023-05-20,Pay TV,Glo,Patricia Jenkins,23490212863835,Area church exactly international because and.,5
344,2023-08-24,Pay TV,MTN,Isabella Dixon,23480768035870,Since project culture save open.,3
9865,2023-09-19,Telecom,Glo,Leah Ray,23490114692517,Shake decide whom.,3
3581,2022-10-26,Pay TV,Etisalat,Louis Sanchez,23480385791831,Ask medical seem discuss your.,1
1637,2022-09-14,Pay TV,Airtel,Clifford Ellis,23490319983557,Special cultural account respond bring.,4
10000,2023-02-08,Pay TV,MTN,Christopher Lutz,23480990385317,Food send structure form sea story.,5
7231,2022-12-14,Telecom,Airtel,Jeremy Hopkins,23481280926071,Foreign either drug various great court room industry.,3
8262,2022-10-28,Pay TV,Glo,Andrew Flores,23480671534139,Pull free traditional discussion.,3
5401,2023-02-12,Pay TV,Etisalat,Michael Cunningham,23490171041568,Any just beautiful form.,3
4897,2022-07-25,Pay TV,Etisalat,Donald Henderson,2348159034245,Too face million smile.,1
3199,2022-04-25,Telecom,Airtel,Sarah Nguyen,23480686288971,South evidence white mission knowledge out.,2
7672,2021-10-20,Telecom,Etisalat,Phillip Williams,23481164989187,Media can class college way.,3
9711,2022-10-13,Telecom,Etisalat,Jessica Mendez,2348168744855,Value laugh treat cold ahead response.,3
3275,2022-09-05,Telecom,Airtel,Kelsey Fuller,23490230488331,Option trip pretty exist quickly develop.,1
8421,2021-10-07,Telecom,Glo,Larry Reeves,23481111611241,Look onto arm bed deep.,1
5784,2023-03-22,Telecom,Glo,Melissa Murphy,23480409250120,Property president season leave.,1
4801,2021-11-23,Pay TV,MTN,Stephen Best,23470986238271,Recent store method recognize nice always.,1
905,2023-04-14,Telecom,Glo,Andrea Barnes,23470239668445,Call where official.,2
8200,2022-03-18,Pay TV,Etisalat,Michael Patton,23480533385290,Financial ability situation he free let.,1
4469,2022-06-18,Telecom,Airtel,Timothy Townsend,23470358486635,Partner night keep world head PM others down.,3
3236,2023-08-15,Pay TV,Airtel,Patricia Meyer,23480887292446,Store who response write nearly.,5
9515,2022-05-12,Telecom,Airtel,Carrie Johnson,23480256303407,Clearly shake floor reason.,5
